N	Domain	Organism	Pathogenicity	Respiration	Environment	Mycotoxin	Removal mechanism	Enzymatic?	Location	Characterization context	Characterization assay	Source	Link	Additional information	Contributor	Contribution date	Curator(s)	Curation date	Curation notes
81	Eukarya	Clonostachys rosea	Opportunistic	Aerobic	Plants;Soil	Zearalenone	Biotransformation	Yes	Extracellular	live culture	TLC	Hideaki KAKEYA, Naoko TAKAHASHI-ANDO, Makoto KIMURA, Rie ONOSE, Isamu YAMAGUCHI, Hiroyuki OSADA, Biotransformation of the Mycotoxin, Zearalenone, to a Non-estrogenic Compound by a Fungal Strain of Clonostachys sp., Bioscience, Biotechnology, and Biochemistry, Volume 66, Issue 12, 1 January 2002, Pages 2723–2726	https://doi.org/10.1271/bbb.66.2723	When fed to animals, zearalenone causes serious problems such as vulvovaginitis, constant estrus, pseudopregnancy, infertility, teratogenisity, and mutagenisity	Micah Dial	2021-04-08	Samuel Shikora	2021-04-22	The article suggests that the mechanism is enzymatic as it involves the biotransformation of zearalenone into a less harmful metabolite - enzyme remains unidentified, however
82	Bacteria	Lactobacillus acidophilus	Non-Pathogenic	Anaerobic	Food;Human;Plants;Soil	Zearalenone	Biotransformation	No	Unknown	live culture	UHPLC-FLD/DAD	Ragoubi C, Quintieri L, Greco D, Mehrez A, Maatouk I, D'Ascanio V, Landoulsi A, Avantaggiato G. Mycotoxin Removal by Lactobacillus spp. and Their Application in Animal Liquid Feed. Toxins (Basel). 2021 Mar 2;13(3):185. doi: 10.3390/toxins13030185. PMID: 33801544; PMCID: PMC8000088.	https://dx.doi.org/10.3390%2Ftoxins13030185	First study to look at mycotoxin removal in animal liquid feed. Lots of removal mechanisms discussed, most effective in removing ZEA compared to OTA and others. Strain used was CIP 76.13T. Different mediums (PBS or MRS) showed different removal percentages.	Justin Lambright	2021-04-08	Cecilia Chase	2021-04-22	There needs to be further research to confirm the removal was by biodegredation but the authors assume it was. No enzyme was identified but likely one involved for degredation.
83	Eukarya	Irpex lacteus	Opportunistic	Aerobic	Plants;Soil	Aflatoxin B1	Biotransformation	Yes	Extracellular	isolated enzymes	HPLC, LC-MS/MS	Wang X, Qin X, Hao Z, Luo H, Yao B, Su X. Degradation of Four Major Mycotoxins by Eight Manganese Peroxidases in Presence of a Dicarboxylic Acid. Toxins (Basel). 2019 Sep 27;11(10):566. doi: 10.3390/toxins11100566. PMID: 31569657; PMCID: PMC6833064.	https://doi.org/10.3390/toxins11100566	Dicarboxylic acid malonate must be present in order for this enzyme to function. Enyzme was most effective in degrading AFB1. These enzymes were recombinantly produced in E.coli	Justin Lambright	2021-04-08	Cecilia Chase	2021-04-22	I. lacteus usually found on rotting wood/logs. Recombinant DNA technology used to transform E. coli to clone and isolate the MnPs. LC-MS/MS used to analyze AFB1 transformation products.
84	Bacteria	Rhodococcus erythropolis	Non-Pathogenic	Aerobic	Soil;Water	Aflatoxin B1	Biotransformation	Yes	Intracellular	cell free extracts	HPLC-FLD	Risa A, Divinyi DM, Baka E, Krifaton C. Aflatoxin B1 detoxification by cell-free extracts of Rhodococcus strains. Acta Microbiol Immunol Hung. 2017 Dec 1;64(4):423-438. doi: 10.1556/030.64.2017.023. Epub 2017 Dec 1. PMID: 29192510.	https://doi.org/10.1556/030.64.2017.023	Two Rhodococcus species used R. erythropolis NI1 and R. rhodochrous NI2. 84% degredation potential seen in both strains. Extracellular tested as well, but did not show reduced genotoxicity	Justin Lambright	2021-04-08	Cecilia Chase	2021-04-22	used intracellular extracts which showed ability of induced and constitutive enzymes to completely stop genotoxicity of AFB1 within minutes while constitituve enzymes alone took 6 hours, has been a case of bloodstream infection caused by R. erythropolis in immunocompromised male
85	Bacteria	Bacillus licheniformis	Pathogenic	Facultative	Animal;Soil	Aflatoxin B1	Biotransformation	Yes	Intracellular	liquid culture, cell free extracts	HPLC, LC-Q-TOF/MS	Wang, Y.; Zhang, H.; Yan, H.; Yin, C.; Liu, Y.; Xu, Q.; Liu, X.; Zhang, Z. Effective Biodegradation of Aflatoxin B1 Using the Bacillus licheniformis (BL010) Strain. Toxins 2018, 10, 497. https://doi.org/10.3390/toxins10120497	https://doi.org/10.3390/toxins10120497	Strain used was Bacillus licheniformis (BL010). Crude enzyme solution had most degredation. Non induced BL010 did not have degredation capability	Justin Lambright	2021-04-08	Cecilia Chase	2021-04-22	B. licheniforms mainly causes infection in immunocompromised but is recognized as a human pathogen. The genes of 2 enzymes, Chia010 and Lac010, likely involved in the biodegredation of AFB1 were found through bioinformatics and the secondary structures were determined through sequence analysis. Futher research of these enzymes is necessary to confirm their role in biodegredation.
86	Eukarya	Rhizopus	Pathogenic	Aerobic	Soil	Zearalenone	Biotransformation	Yes	Unknown	liquid culture	HPLC-MS	Antje Brodehl, Anne Möller, Hans-Jörg Kunte, Matthias Koch, Ronald Maul, Biotransformation of the mycotoxin zearalenone by fungi of the genera Rhizopus and Aspergillus, FEMS Microbiology Letters, Volume 359, Issue 1, October 2014, Pages 124–130	https://doi.org/10.1111/1574-6968.12586	Two Aspergillus oryzae strains and all seven Rhizopus species were able to convert ZEN into various metabolite	Micah Dial	2021-04-08	Samuel Shikora	2021-04-22	The article seems to indicate that a sulfatase enzyme was used to hydrolyze a ZEL-sulfate metabolite, rather than the zearalenone itself
87	Eukarya	Aspergillus	Pathogenic	Aerobic	Soil	Zearalenone	Biotransformation	Yes	Unknown	liquid culture	HPLC-MS	Antje Brodehl, Anne Möller, Hans-Jörg Kunte, Matthias Koch, Ronald Maul, Biotransformation of the mycotoxin zearalenone by fungi of the genera Rhizopus and Aspergillus, FEMS Microbiology Letters, Volume 359, Issue 1, October 2014, Pages 124–130	https://doi.org/10.1111/1574-6968.12586	Two Aspergillus oryzae strains and all seven Rhizopus species were able to convert ZEN into various metabolite	Micah Dial	2021-04-08	Samuel Shikora	2021-04-22	The article seems to indicate that a sulfatase enzyme was used to hydrolyze a ZEL-sulfate metabolite, rather than the zearalenone itself
88	Bacteria	Lactobcillus brevis	Non-Pathogenic	Anaerobic	Food;Human	Tenuazonic Acid	Adsorption	No	Extracellular	liquid culture	HPLC	Na Ge, Jingjing Xu, Bangzhu Peng, Siyi Pan, Adsorption mechanism of tenuazonic acid using inactivated lactic acid bacteria, Food Control, Volume 82, 2017, Pages 274-282, ISSN 0956-7135, https://doi.org/10.1016/j.foodcont.2017.07.009.	https://www.sciencedirect.com/science/article/pii/S0956713517303560?via%3Dihub	modified inactivated lactic acid bacteria used	Theresa Fallon	2021-04-08	Stephanie Li	2021-04-21	This bacteria can also be found in meat, mouth and intestines of humans and rats.
89	Eukarya	Saccharomyces cerevisiae	Opportunistic	Facultative	Animal;Food;Human;Plants;Soil	Ochratoxin A	Adsorption	No	Intracellular	live culture	ELISA	Leonardo Petruzzi, Maria Rosaria Corbo, Antonietta Baiano, Luciano Beneduce, Milena Sinigaglia, Antonio Bevilacqua, In vivo stability of the complex ochratoxin A – Saccharomyces cerevisiae starter strains, Food Control, Volume 50, 2015, Pages 516-520, ISSN 0956-7135, https://doi.org/10.1016/j.foodcont.2014.09.042.	https://doi.org/10.1016/j.foodcont.2014.09.042	S. cerevisiae W13-OTA was most stable to adsorption reversibility	Theresa Fallon	2021-04-08	Stephanie Li	2021-04-21	S. cerevisiae is an eukarya and it can also be found in many environents including soil, plants, trees, insects, and humans. Seems like the study doesn't explain a direct mechanism of absorption, but they also mention the binding of yeast-OTA is on the cell surface or hypothesize that it is something on the surface of yeasts.
90	Bacteria	Lactobacillus pentosus	Non-Pathogenic	Anaerobic	Food;Human;Plants	Zearalenone	Adsorption	No	Extracellular	liquid culture	HPLC-FLD	Arunrussamee Sangsila, Virginie Faucet-Marquis, Annie Pfohl-Leszkowicz, Pariyaporn Itsaranuwat, Detoxification of zearalenone by Lactobacillus pentosus strains, Food Control, Volume 62, 2016, Pages 187-192, ISSN 0956-7135, https://doi.org/10.1016/j.foodcont.2015.10.031.	https://doi.org/10.1016/j.foodcont.2015.10.031	Eight Lactobacillus pentosus strains were used in this experiment	Theresa Fallon	2021-04-08	Stephanie Li	2021-04-21	Lactobacillus pentosus fall under the L. plantarum group and they can be found in many places like vegetables, meat, dairy as well as GI tract. Experiment conducted in liquid culture.
91	Eukarya	Gliocladium roseum	Non-Pathogenic	Aerobic	Plants	Zearalenone	Biotransformation	Yes	Intracellular	isolated enzyme culture	HPLC-MS	Utermark, Jan, and Petr Karlovsky. ""Role of zearalenone lactonase in protection of Gliocladium roseum from fungitoxic effects of the mycotoxin zearalenone."" Applied and environmental microbiology 73.2 (2007): 637-642.	https://doi.org/10.1128/AEM.01440-06	The growth of G. roseum was not inhibited by zearalenone, and the lactonase may protect G. roseum from the toxic effects of this mycotoxin	Micah Dial	2021-04-08	Samuel Shikora	2021-04-22	C. roeseum is non-pathogenic to humans, but is a parasite of other fungi and some nematodes
